EnvSteps,Iters,TimeThisIter,TimeTotal,Tie,WinX,EpisodeLengthMean,WinO,EpisodeReturnMean,ReturnX,ReturnO
372000.0,93,48.7506,4247.5432,0.87,0.0912,7.784,0.0388,-0.2161,-0.0541,-0.1621
376000.0,94,47.8671,4295.4103,0.8225,0.0982,7.642,0.0793,-0.2018,-0.1049,-0.0969
380000.0,95,48.3251,4343.7355,0.8615,0.0804,7.708,0.058,-0.2176,-0.0848,-0.1328
384000.0,96,48.2901,4392.0255,0.858,0.0918,7.716,0.0502,-0.2121,-0.0601,-0.1521
388000.0,97,48.2179,4440.2434,0.9087,0.0675,7.828,0.0238,-0.227,-0.0635,-0.1635
392000.0,98,48.7012,4488.9446,0.8259,0.1203,7.6,0.0539,-0.2003,-0.0541,-0.1461
396000.0,99,49.035,4537.9795,0.8009,0.1525,7.584,0.0466,-0.2023,0.0089,-0.2111
400000.0,100,48.3625,4586.3421,0.8834,0.0753,7.716,0.0413,-0.2146,-0.0713,-0.1433
404000.0,101,48.0416,4634.3837,0.8249,0.1323,7.684,0.0428,-0.2072,-0.0136,-0.1936
408000.0,102,45.8516,4680.2353,0.8334,0.1137,7.68,0.0529,-0.2097,-0.0408,-0.1688
412000.0,103,43.6261,4723.8614,0.8457,0.0924,7.748,0.0619,-0.2097,-0.0728,-0.1368
416000.0,104,42.8331,4766.6945,0.8562,0.0843,7.712,0.0595,-0.2102,-0.0831,-0.1271
420000.0,105,43.242,4809.9364,0.8487,0.0977,7.738,0.0536,-0.2131,-0.0766,-0.1366
424000.0,106,43.4563,4853.3928,0.8301,0.0889,7.662,0.081,-0.2082,-0.0861,-0.1221
428000.0,107,42.9405,4896.3333,0.8275,0.0861,7.658,0.0864,-0.2067,-0.1034,-0.1034
432000.0,108,42.918,4939.2513,0.8299,0.1004,7.716,0.0696,-0.2052,-0.0846,-0.1206
436000.0,109,43.4915,4982.7428,0.833,0.0716,7.708,0.0953,-0.2082,-0.1061,-0.1021
440000.0,110,45.8684,5028.6112,0.8265,0.0733,7.616,0.1002,-0.2008,-0.1124,-0.0884
444000.0,111,47.3827,5075.9938,0.7862,0.1127,7.566,0.1011,-0.1993,-0.1016,-0.0976
448000.0,112,48.4306,5124.4245,0.8127,0.1097,7.622,0.0776,-0.2013,-0.0866,-0.1146
452000.0,113,48.3127,5172.7371,0.8357,0.0977,7.686,0.0666,-0.2057,-0.0749,-0.1309
456000.0,114,47.8012,5220.5384,0.8065,0.1334,7.59,0.0601,-0.2008,-0.0364,-0.1644
460000.0,115,47.7609,5268.2993,0.7849,0.1595,7.482,0.0556,-0.1948,0.0146,-0.2094
464000.0,116,47.7719,5316.0711,0.8258,0.1354,7.61,0.0388,-0.2042,-0.0041,-0.2001
