EnvSteps,Episodes,Iters,TimeThisIter,TimeTotal,EpisodeReturnMean,WinX,EpisodeLengthMean,Tie,WinO,ReturnO,ReturnX
204000,27079,51,16.9191,823.7536,1.2247,0.2664,7.692,0.6111,0.1225,0.5704,0.6544
208000,27586,52,16.5907,840.3444,1.2602,0.2618,7.794,0.6177,0.1204,0.6141,0.6461
212000,28095,53,16.6851,857.0294,1.2861,0.2575,7.869,0.6241,0.1184,0.6201,0.6661
216000,28600,54,16.3831,873.4126,1.3011,0.2531,7.893,0.6307,0.1162,0.6266,0.6746
220000,29102,55,16.4114,889.824,1.3352,0.2482,7.947,0.6379,0.1139,0.6606,0.6746
224000,29611,56,16.038,905.862,1.3229,0.2437,7.916,0.6442,0.1121,0.6635,0.6595
228000,30119,57,16.6373,922.4993,1.2929,0.2394,7.858,0.6503,0.1103,0.6425,0.6505
232000,30623,58,16.5265,939.0258,1.3025,0.2348,7.898,0.6565,0.1087,0.6542,0.6482
236000,31136,59,16.381,955.4068,1.267,0.2312,7.867,0.6613,0.1075,0.6365,0.6305
240000,31651,60,16.5255,971.9323,1.2166,0.2277,7.779,0.6657,0.1067,0.6063,0.6103
244000,32167,61,15.9141,987.8464,1.2179,0.2244,7.758,0.6701,0.1055,0.602,0.616
248000,32683,62,15.469,1003.3154,1.2206,0.2211,7.743,0.6751,0.1038,0.5793,0.6413
252000,33191,63,15.8782,1019.1936,1.2616,0.2176,7.81,0.6805,0.1019,0.5918,0.6698
256000,33697,64,16.0161,1035.2098,1.3025,0.2138,7.896,0.6859,0.1003,0.6302,0.6722
260000,34201,65,15.8577,1051.0674,1.312,0.2102,7.915,0.6913,0.0985,0.644,0.668
264000,34703,66,16.0371,1067.1045,1.3325,0.2062,7.95,0.6971,0.0967,0.6592,0.6732
268000,35211,67,16.0522,1083.1568,1.3147,0.2028,7.924,0.7018,0.0953,0.6534,0.6614
272000,35713,68,15.9867,1099.1434,1.3134,0.199,7.923,0.7074,0.0936,0.6537,0.6597
276000,36222,69,15.7116,1114.855,1.3052,0.1957,7.906,0.7121,0.0922,0.6496,0.6556
280000,36731,70,16.2245,1131.0796,1.2793,0.1925,7.857,0.7169,0.0905,0.6196,0.6596
284000,37240,71,15.8656,1146.9452,1.2916,0.1894,7.856,0.7215,0.0891,0.6248,0.6668
288000,37743,72,16.0304,1162.9756,1.3188,0.1858,7.9,0.7267,0.0874,0.6504,0.6684
292000,38250,73,16.3649,1179.3404,1.3229,0.1827,7.931,0.7314,0.0858,0.6415,0.6815
296000,38762,74,16.1834,1195.5239,1.2807,0.1797,7.856,0.7352,0.0851,0.6393,0.6413
300000,39265,75,16.2381,1211.762,1.2929,0.1767,7.875,0.7398,0.0836,0.6565,0.6365
304000,39769,76,16.5869,1228.3489,1.3325,0.1735,7.94,0.7445,0.082,0.6592,0.6732
308000,40271,77,16.5701,1244.9189,1.3407,0.1702,7.952,0.7494,0.0804,0.6613,0.6793
312000,40772,78,16.6969,1261.6159,1.3516,0.1669,7.978,0.7543,0.0788,0.6708,0.6808
316000,41283,79,16.5115,1278.1273,1.2766,0.1645,7.902,0.7569,0.0785,0.6463,0.6303
320000,41802,80,16.6054,1294.7328,1.192,0.1628,7.769,0.7597,0.0775,0.58,0.612
324000,42321,81,16.3983,1311.1311,1.1988,0.1612,7.706,0.7623,0.0765,0.5384,0.6604
328000,42832,82,16.5267,1327.6578,1.252,0.159,7.759,0.7658,0.0752,0.586,0.666
332000,43339,83,15.9885,1343.6463,1.3011,0.1565,7.864,0.7697,0.0738,0.6286,0.6726
336000,43854,84,15.7253,1359.3716,1.2725,0.1537,7.828,0.7726,0.0737,0.6492,0.6232
340000,44361,85,15.5124,1374.884,1.2616,0.1511,7.821,0.7759,0.073,0.6618,0.5998
344000,44863,86,14.8936,1389.7777,1.312,0.1483,7.928,0.7799,0.0719,0.662,0.65
348000,45367,87,15.3018,1405.0795,1.3284,0.1456,7.956,0.7835,0.0709,0.6702,0.6582
352000,45871,88,15.4438,1420.5233,1.3188,0.1428,7.938,0.7873,0.0699,0.6744,0.6444
356000,46374,89,15.2705,1435.7938,1.3243,0.1402,7.941,0.7911,0.0687,0.6671,0.6571
360000,46876,90,15.9945,1451.7883,1.3407,0.1375,7.961,0.7951,0.0674,0.6633,0.6773
364000,47382,91,16.2123,1468.0006,1.3366,0.1351,7.936,0.7987,0.0662,0.6563,0.6803
368000,47883,92,16.2916,1484.2922,1.3393,0.1327,7.945,0.8025,0.0649,0.6576,0.6816
372000,48385,93,16.2508,1500.5429,1.3543,0.13,7.985,0.8062,0.0637,0.6761,0.6781
