EnvSteps,Iters,TimeThisIter,TimeTotal,WinX,EpisodeReturnMean,WinO,Tie,EpisodeLengthMean,ReturnX,ReturnO
408000.0,102,45.1463,4675.0618,0.0186,-1.38,0.0236,0.9578,7.906,-0.688,-0.692
412000.0,103,38.8932,4713.955,0.0358,-1.2681,0.0722,0.892,7.76,-0.6781,-0.5901
416000.0,104,40.5107,4754.4657,0.0161,-1.3714,0.0324,0.9515,7.91,-0.7017,-0.6697
420000.0,105,42.8139,4797.2796,0.069,-1.1906,0.0836,0.8474,7.602,-0.6133,-0.5773
424000.0,106,42.6822,4839.9618,0.0199,-1.2853,0.0898,0.8903,7.762,-0.6947,-0.5907
428000.0,107,44.1097,4884.0715,0.0154,-1.3456,0.0605,0.9241,7.872,-0.7068,-0.6388
432000.0,108,45.2614,4929.3329,0.0107,-1.3542,0.0548,0.9345,7.884,-0.7091,-0.6451
436000.0,109,46.2097,4975.5427,0.0356,-1.3398,0.0335,0.9309,7.818,-0.6639,-0.6759
440000.0,110,47.2727,5022.8154,0.0986,-1.2107,0.0365,0.8649,7.604,-0.5374,-0.6734
444000.0,111,47.9366,5070.752,0.0765,-1.2423,0.0308,0.8927,7.648,-0.5671,-0.6751
448000.0,112,48.0417,5118.7937,0.0453,-1.314,0.0379,0.9167,7.806,-0.657,-0.657
452000.0,113,47.8793,5166.673,0.0205,-1.3226,0.0395,0.9401,7.848,-0.6873,-0.6353
456000.0,114,48.0838,5214.7569,0.032,-1.3571,0.0192,0.9489,7.87,-0.6685,-0.6885
460000.0,115,47.8789,5262.6358,0.0259,-1.2566,0.0853,0.8888,7.79,-0.6843,-0.5723
464000.0,116,47.5777,5310.2135,0.0163,-1.3169,0.0609,0.9228,7.836,-0.6964,-0.6204
468000.0,117,46.0304,5356.2439,0.0186,-1.3771,0.0244,0.957,7.898,-0.7006,-0.6766
