EnvSteps,Iters,TimeThisIter,TimeTotal,WinX,EpisodeReturnMean,Tie,WinO,EpisodeLengthMean,ReturnO,ReturnX
244000.0,61,48.4453,2822.2907,0.2115,-0.8462,0.6049,0.1836,7.176,-0.4751,-0.3711
248000.0,62,48.6703,2870.961,0.2543,-0.8153,0.5914,0.1543,7.144,-0.5137,-0.3017
252000.0,63,48.5006,2919.4616,0.234,-0.8294,0.6191,0.1469,7.202,-0.5067,-0.3227
256000.0,64,48.2987,2967.7603,0.2389,-0.891,0.6296,0.1315,7.216,-0.5455,-0.3455
260000.0,65,46.7394,3014.4998,0.2229,-0.891,0.622,0.1551,7.23,-0.5015,-0.3895
264000.0,66,44.8499,3059.3497,0.2408,-0.8826,0.6198,0.1394,7.21,-0.5353,-0.3473
268000.0,67,41.864,3101.2137,0.2491,-0.8434,0.6173,0.1337,7.172,-0.5317,-0.3117
272000.0,68,42.3245,3143.5382,0.2765,-0.7369,0.526,0.1975,6.95,-0.4224,-0.3144
276000.0,69,40.7989,3184.3371,0.2784,-0.7285,0.5206,0.201,6.956,-0.4522,-0.2762
280000.0,70,39.4987,3223.8357,0.3253,-0.6753,0.4802,0.1945,6.88,-0.4556,-0.2196
284000.0,71,44.6216,3268.4574,0.3496,-0.6332,0.4385,0.2119,6.874,-0.4206,-0.2126
288000.0,72,47.7615,3316.2188,0.2927,-0.6781,0.4915,0.2158,6.942,-0.419,-0.259
292000.0,73,48.482,3364.7008,0.3571,-0.6809,0.4835,0.1595,6.852,-0.5584,-0.1224
296000.0,74,48.573,3413.2738,0.383,-0.6332,0.4543,0.1626,6.76,-0.5286,-0.1046
300000.0,75,48.4586,3461.7324,0.3569,-0.6865,0.5017,0.1413,6.768,-0.5892,-0.0972
304000.0,76,48.1155,3509.8479,0.3222,-0.7369,0.5439,0.1339,6.904,-0.5384,-0.1984
308000.0,77,47.7553,3557.6031,0.359,-0.7285,0.4952,0.1457,6.928,-0.5882,-0.1402
312000.0,78,47.2388,3604.8419,0.3134,-0.7789,0.5694,0.1172,7.044,-0.5935,-0.1855
316000.0,79,47.467,3652.3089,0.289,-0.7621,0.5498,0.1612,6.982,-0.5131,-0.2491
320000.0,80,47.8424,3700.1512,0.2946,-0.8041,0.5675,0.1379,7.1,-0.5961,-0.2081
324000.0,81,47.7647,3747.916,0.302,-0.8434,0.6054,0.0926,7.106,-0.6237,-0.2197
328000.0,82,48.1715,3796.0875,0.3067,-0.7453,0.5445,0.1488,6.914,-0.5327,-0.2127
332000.0,83,48.7433,3844.8307,0.3051,-0.8182,0.5887,0.1063,7.072,-0.6091,-0.2091
336000.0,84,48.0792,3892.9099,0.3273,-0.8406,0.5792,0.0934,7.156,-0.6203,-0.2203
340000.0,85,47.0254,3939.9353,0.3318,-0.8041,0.5489,0.1192,7.09,-0.5841,-0.2201
344000.0,86,46.5811,3986.5164,0.3065,-0.7677,0.5382,0.1553,6.978,-0.5119,-0.2559
348000.0,87,44.8642,4031.3806,0.3517,-0.8125,0.5392,0.1091,7.096,-0.6343,-0.1783
352000.0,88,43.2654,4074.646,0.2906,-0.7929,0.5927,0.1167,7.036,-0.5665,-0.2265
