EnvSteps,Episodes,Iters,TimeThisIter,TimeTotal,WinX,EpisodeLengthMean,EpisodeReturnMean,WinO,Tie
428000,58158,107,15.8396,1740.4863,0.1743,7.671,-0.4512,0.0991,0.7266
432000,58685,108,16.06,1756.5462,0.1727,7.637,-0.448,0.0986,0.7288
436000,59201,109,15.7766,1772.3229,0.1709,7.673,-0.4501,0.0977,0.7313
440000,59719,110,15.9969,1788.3198,0.1694,7.735,-0.4608,0.097,0.7337
444000,60237,111,16.2937,1804.6135,0.1671,7.712,-0.4667,0.0958,0.737
448000,60756,112,16.1342,1820.7477,0.1658,7.712,-0.4661,0.0947,0.7395
452000,61276,113,16.5008,1837.2485,0.1645,7.714,-0.4581,0.0936,0.7419
456000,61800,114,16.1896,1853.4381,0.1635,7.666,-0.4496,0.093,0.7435
460000,62323,115,16.166,1869.604,0.1621,7.636,-0.4496,0.0924,0.7455
464000,62847,116,16.4148,1886.0188,0.161,7.631,-0.4442,0.0922,0.7468
468000,63368,117,16.4917,1902.5105,0.1592,7.643,-0.4432,0.0922,0.7486
472000,63881,118,16.2079,1918.7184,0.157,7.735,-0.4667,0.0914,0.7516
476000,64397,119,16.3885,1935.1069,0.1553,7.775,-0.4805,0.0905,0.7542
480000,64923,120,16.6457,1951.7525,0.1541,7.675,-0.4634,0.0895,0.7564
484000,65448,121,16.9789,1968.7314,0.1528,7.625,-0.4496,0.0893,0.7579
488000,65975,122,16.5169,1985.2483,0.1517,7.599,-0.4432,0.0891,0.7592
492000,66493,123,16.1151,2001.3634,0.1505,7.66,-0.456,0.0882,0.7613
496000,67007,124,16.0072,2017.3706,0.1492,7.748,-0.4667,0.0873,0.7636
500000,67526,125,15.7672,2033.1378,0.1481,7.735,-0.4586,0.0868,0.7651
504000,68055,126,16.15,2049.2878,0.147,7.621,-0.4426,0.0866,0.7664
508000,68571,127,15.7699,2065.0578,0.1455,7.658,-0.4549,0.0856,0.7689
512000,69087,128,15.9202,2080.9779,0.144,7.752,-0.4747,0.085,0.771
516000,69600,129,16.0116,2096.9895,0.1424,7.775,-0.4779,0.084,0.7735
520000,70114,130,16.6655,2113.655,0.1408,7.783,-0.4757,0.0833,0.7759
524000,70633,131,16.3778,2130.0328,0.1398,7.746,-0.4715,0.0823,0.7779
528000,71167,132,16.6249,2146.6576,0.1395,7.595,-0.44,0.0824,0.7781
532000,71710,133,16.9042,2163.5618,0.1392,7.412,-0.4095,0.083,0.7779
536000,72243,134,17.1652,2180.727,0.138,7.425,-0.4143,0.0833,0.7787
540000,72768,135,17.1275,2197.8545,0.1375,7.549,-0.4266,0.0831,0.7794
