EnvSteps,Episodes,Iters,TimeThisIter,TimeTotal,EpisodeReturnMean,WinX,EpisodeLengthMean,Tie,WinO
400000,51923,100,16.7837,1617.9975,1.3338,0.1157,7.955,0.8255,0.0588
404000,52426,101,16.7052,1634.7027,1.3407,0.1134,7.967,0.8288,0.0578
408000,52928,102,16.2996,1651.0022,1.3352,0.1113,7.964,0.8315,0.0572
412000,53443,103,16.0755,1667.0777,1.2807,0.1102,7.862,0.8331,0.0567
416000,53954,104,15.8334,1682.9112,1.252,0.1087,7.804,0.835,0.0563
420000,54460,105,15.9395,1698.8507,1.282,0.107,7.864,0.8374,0.0557
424000,54971,106,15.8751,1714.7258,1.2697,0.1057,7.87,0.8388,0.0556
428000,55479,107,15.7546,1730.4804,1.252,0.1038,7.844,0.841,0.0552
432000,55983,108,16.1176,1746.598,1.2943,0.1018,7.902,0.8436,0.0546
436000,56486,109,16.069,1762.667,1.3202,0.1002,7.949,0.8461,0.0537
440000,56993,110,16.0263,1778.6933,1.3107,0.0984,7.917,0.8482,0.0533
444000,57502,111,16.3281,1795.0214,1.3025,0.0973,7.878,0.8501,0.0526
448000,58008,112,16.2826,1811.304,1.3066,0.0958,7.882,0.8524,0.0518
452000,58512,113,16.444,1827.748,1.3161,0.0941,7.919,0.8546,0.0513
456000,59018,114,16.2801,1844.0281,1.2902,0.0931,7.924,0.8561,0.0508
460000,59526,115,16.2609,1860.289,1.2779,0.0919,7.886,0.8578,0.0503
464000,60029,116,15.9533,1876.2423,1.312,0.0903,7.905,0.8602,0.0494
468000,60533,117,16.4184,1892.6607,1.3311,0.0889,7.95,0.8626,0.0485
472000,61034,118,16.3078,1908.9686,1.3434,0.0873,7.97,0.8651,0.0476
476000,61536,119,16.3353,1925.3038,1.3366,0.0857,7.97,0.8673,0.047
480000,62038,120,16.0236,1941.3274,1.327,0.084,7.96,0.8694,0.0466
484000,62542,121,16.0738,1957.4013,1.3257,0.0825,7.953,0.8712,0.0462
488000,63045,122,15.7492,1973.1505,1.3257,0.0809,7.951,0.8734,0.0457
492000,63547,123,15.5938,1988.7443,1.3216,0.0795,7.964,0.8752,0.0453
496000,64052,124,15.0353,2003.7796,1.3025,0.0789,7.939,0.8767,0.0444
500000,64557,125,15.2188,2018.9984,1.3052,0.0777,7.923,0.8785,0.0438
504000,65061,126,15.6841,2034.6824,1.3147,0.0767,7.939,0.8802,0.0431
508000,65566,127,15.7204,2050.4028,1.3161,0.0755,7.933,0.882,0.0425
512000,66070,128,16.0662,2066.469,1.3216,0.0745,7.917,0.8838,0.0417
516000,66595,129,16.5411,2083.0101,1.2329,0.0749,7.761,0.8835,0.0416
520000,67107,130,16.7816,2099.7917,1.2002,0.0742,7.723,0.8841,0.0416
524000,67610,131,17.6272,2117.4189,1.2888,0.0734,7.879,0.8857,0.0409
528000,68125,132,16.8092,2134.2281,1.2738,0.0723,7.864,0.8858,0.0419
532000,68634,133,17.0898,2151.318,1.2452,0.0711,7.812,0.8868,0.0421
536000,69139,134,17.2898,2168.6078,1.297,0.0699,7.881,0.8882,0.0419
540000,69641,135,17.3001,2185.9079,1.3325,0.0687,7.946,0.89,0.0413
544000,70143,136,17.3742,2203.2821,1.3448,0.0676,7.974,0.8919,0.0405
548000,70654,137,16.8446,2220.1267,1.3188,0.0671,7.907,0.893,0.0399
552000,71158,138,17.1376,2237.2643,1.3025,0.0663,7.887,0.8944,0.0393
556000,71669,139,17.3844,2254.6487,1.2997,0.0659,7.874,0.8953,0.0389
560000,72173,140,17.2661,2271.9148,1.3011,0.0648,7.88,0.8967,0.0385
564000,72680,141,17.4038,2289.3186,1.3025,0.0641,7.918,0.8976,0.0383
568000,73185,142,17.5364,2306.855,1.2957,0.0635,7.9,0.8987,0.0378
572000,73689,143,17.5562,2324.4112,1.3216,0.0625,7.931,0.9004,0.0372
576000,74190,144,17.3801,2341.7913,1.342,0.0613,7.964,0.9021,0.0366
580000,74696,145,17.784,2359.5753,1.3229,0.0609,7.941,0.903,0.0361
584000,75202,146,17.4274,2377.0028,1.3052,0.0602,7.905,0.9042,0.0357
588000,75704,147,17.4317,2394.4345,1.3257,0.0591,7.933,0.9057,0.0352
592000,76211,148,16.7539,2411.1884,1.3229,0.0585,7.929,0.9069,0.0346
596000,76716,149,16.3191,2427.5075,1.3161,0.0578,7.908,0.9083,0.0339
600000,77218,150,15.7254,2443.2329,1.3325,0.057,7.942,0.9096,0.0333
604000,77723,151,15.9799,2459.2128,1.3297,0.0564,7.947,0.9108,0.0328
608000,78230,152,15.6261,2474.8389,1.3011,0.0562,7.912,0.9113,0.0325
612000,78734,153,15.8418,2490.6807,1.2984,0.0559,7.912,0.912,0.0321
616000,79235,154,15.9112,2506.5919,1.3338,0.055,7.959,0.9134,0.0316
620000,79739,155,15.7634,2522.3553,1.3366,0.0543,7.964,0.9146,0.0311
624000,80239,156,15.7308,2538.0861,1.3352,0.0534,7.962,0.9162,0.0305
628000,80751,157,16.1671,2554.2533,1.3188,0.0532,7.903,0.9168,0.0301
632000,81261,158,16.3634,2570.6167,1.2888,0.0527,7.83,0.9174,0.0299
636000,81764,159,16.1536,2586.7703,1.3093,0.052,7.895,0.9185,0.0296
640000,82266,160,16.1668,2602.9371,1.3325,0.0511,7.96,0.9197,0.0292
644000,82773,161,16.2501,2619.1871,1.3134,0.0509,7.921,0.9202,0.029
648000,83278,162,16.2731,2635.4603,1.3066,0.0504,7.907,0.9212,0.0285
652000,83783,163,16.3208,2651.7811,1.3229,0.0498,7.929,0.9223,0.0279
656000,84290,164,16.2106,2667.9917,1.3175,0.049,7.914,0.923,0.028
660000,84795,165,15.537,2683.5287,1.3134,0.0482,7.908,0.9239,0.0279
664000,85297,166,15.4452,2698.9739,1.3297,0.0474,7.945,0.9251,0.0275
668000,85797,167,15.1054,2714.0794,1.3516,0.0465,7.981,0.9265,0.0269
672000,86302,168,15.2219,2729.3013,1.3352,0.0458,7.955,0.9274,0.0268
676000,86806,169,15.0103,2744.3116,1.3147,0.0452,7.926,0.9283,0.0265
680000,87307,170,15.4647,2759.7763,1.3257,0.0446,7.955,0.9294,0.026
684000,87810,171,15.9264,2775.7027,1.3393,0.0437,7.977,0.9305,0.0257
688000,88320,172,15.6438,2791.3465,1.3079,0.0442,7.905,0.9305,0.0253
692000,88833,173,15.8213,2807.1678,1.2575,0.0444,7.808,0.9301,0.0255
696000,89340,174,15.8121,2822.9799,1.2725,0.044,7.842,0.9305,0.0254
700000,89845,175,15.6966,2838.6765,1.3052,0.0438,7.91,0.9311,0.0252
704000,90349,176,15.818,2854.4945,1.3229,0.0431,7.933,0.932,0.0249
708000,90851,177,16.0105,2870.5049,1.3379,0.0424,7.955,0.9331,0.0245
712000,91357,178,16.0256,2886.5305,1.3297,0.0422,7.928,0.9337,0.0241
716000,91860,179,15.7059,2902.2364,1.3284,0.0417,7.925,0.9346,0.0237
720000,92361,180,16.0432,2918.2796,1.3475,0.041,7.969,0.9358,0.0233
724000,92863,181,16.0293,2934.3089,1.3379,0.0406,7.973,0.9365,0.0229
