EnvSteps,Episodes,Iters,TimeThisIter,TimeTotal,WinX,Tie,EpisodeLengthMean,WinO,EpisodeReturnMean
540000,70021,135,16.9407,2179.7126,0.0628,0.9043,7.991,0.033,-0.4755
544000,70534,136,16.8389,2196.5515,0.0622,0.9051,7.899,0.0327,-0.4616
548000,71039,137,16.9699,2213.5215,0.0612,0.9064,7.868,0.0323,-0.4568
552000,71542,138,16.9788,2230.5003,0.0605,0.9078,7.928,0.0318,-0.4664
556000,72047,139,17.0392,2247.5396,0.0594,0.9091,7.929,0.0315,-0.4664
560000,72550,140,17.0835,2264.623,0.0587,0.9103,7.936,0.031,-0.4669
564000,73051,141,17.1883,2281.8113,0.0575,0.9121,7.968,0.0304,-0.4721
568000,73552,142,17.5229,2299.3342,0.0565,0.9137,7.991,0.0298,-0.475
572000,74052,143,17.7778,2317.1119,0.0553,0.9153,7.991,0.0294,-0.4745
576000,74558,144,17.8101,2334.922,0.0543,0.9163,7.95,0.0294,-0.4683
580000,75059,145,17.9948,2352.9168,0.0534,0.9178,7.948,0.0289,-0.4688
584000,75562,146,17.7741,2370.6909,0.0525,0.9191,7.968,0.0284,-0.4721
588000,76063,147,17.7638,2388.4547,0.0516,0.9204,7.961,0.028,-0.4702
592000,76570,148,17.2705,2405.7252,0.0506,0.9213,7.937,0.028,-0.4669
596000,77074,149,17.2914,2423.0166,0.0499,0.9225,7.914,0.0277,-0.464
600000,77575,150,17.1248,2440.1414,0.0489,0.924,7.963,0.0271,-0.4717
604000,78079,151,16.8476,2456.989,0.048,0.9249,7.959,0.0271,-0.4707
608000,78583,152,16.5213,2473.5103,0.0472,0.926,7.927,0.0268,-0.4654
612000,79084,153,16.0713,2489.5815,0.0464,0.9273,7.964,0.0263,-0.4717
616000,79584,154,15.8448,2505.4263,0.0455,0.9286,7.995,0.0259,-0.476
620000,80087,155,15.3296,2520.7559,0.0451,0.9295,7.976,0.0254,-0.4712
624000,80590,156,15.0462,2535.8021,0.0444,0.9307,7.954,0.0249,-0.4678
628000,81092,157,14.8181,2550.6202,0.0437,0.9319,7.969,0.0245,-0.4712
632000,81592,158,14.9481,2565.5683,0.0428,0.9331,7.991,0.024,-0.475
636000,82092,159,15.4818,2581.0502,0.042,0.9344,7.997,0.0236,-0.4769
640000,82592,160,16.0226,2597.0727,0.0412,0.9357,7.997,0.0232,-0.4769
644000,83093,161,15.9711,2613.0438,0.0404,0.9366,7.989,0.023,-0.4731
648000,83595,162,16.0809,2629.1246,0.0396,0.9377,7.98,0.0226,-0.4717
652000,84106,163,16.2522,2645.3768,0.0397,0.938,7.898,0.0222,-0.4645
656000,84609,164,16.5233,2661.9001,0.0391,0.9387,7.881,0.0222,-0.4607
660000,85112,165,16.1844,2678.0845,0.0386,0.9395,7.956,0.0219,-0.4683
664000,85613,166,16.8491,2694.9336,0.0379,0.9405,7.968,0.0216,-0.4717
