EnvSteps,Iters,TimeThisIter,TimeTotal,EpisodeLengthMean,Tie,WinO,WinX,EpisodeReturnMean,ReturnX,ReturnO
340000.0,85,47.7944,3895.4159,6.87,0.5167,0.4147,0.0686,0.2852,0.4349,-0.1498
344000.0,86,48.4306,3943.8465,6.758,0.4933,0.4566,0.05,0.261,0.3761,-0.1151
348000.0,87,48.4312,3992.2777,6.888,0.5388,0.3887,0.0725,0.2873,0.4537,-0.1665
352000.0,88,48.3285,4040.6062,6.77,0.5571,0.3498,0.0931,0.2778,0.4429,-0.1651
356000.0,89,48.3455,4088.9517,6.968,0.5821,0.3206,0.0973,0.3094,0.5004,-0.191
360000.0,90,48.4697,4137.4214,6.92,0.5791,0.3384,0.0825,0.2989,0.479,-0.1802
364000.0,91,48.7555,4186.1769,6.89,0.5715,0.3429,0.0856,0.301,0.4846,-0.1837
368000.0,92,48.2523,4234.4292,7.038,0.5952,0.3225,0.0824,0.3241,0.5044,-0.1803
372000.0,93,48.2648,4282.694,6.928,0.531,0.3495,0.1195,0.2883,0.4796,-0.1913
376000.0,94,48.6185,4331.3125,7.124,0.6308,0.2925,0.0768,0.3357,0.5406,-0.205
380000.0,95,48.1792,4379.4917,7.094,0.6227,0.2804,0.0969,0.3283,0.5376,-0.2092
384000.0,96,49.318,4428.8097,7.034,0.6059,0.282,0.1121,0.3146,0.5353,-0.2207
388000.0,97,49.8849,4478.6947,7.262,0.6353,0.2666,0.098,0.3483,0.5632,-0.2149
392000.0,98,49.4859,4528.1805,7.174,0.6431,0.2788,0.0781,0.3304,0.5322,-0.2017
396000.0,99,49.8,4577.9806,7.212,0.6346,0.249,0.1164,0.3367,0.5797,-0.243
400000.0,100,49.212,4627.1925,7.392,0.7044,0.1942,0.1014,0.3778,0.6174,-0.2396
404000.0,101,48.2148,4675.4073,7.292,0.7217,0.1983,0.08,0.3599,0.5775,-0.2176
408000.0,102,48.5693,4723.9766,7.332,0.7347,0.1937,0.0716,0.382,0.6022,-0.2202
412000.0,103,48.7246,4772.7013,7.39,0.7342,0.191,0.0749,0.3915,0.6174,-0.226
416000.0,104,48.0408,4820.7421,7.442,0.7806,0.1689,0.0505,0.4083,0.6138,-0.2055
420000.0,105,47.8847,4868.6268,7.362,0.704,0.21,0.086,0.3799,0.601,-0.2211
424000.0,106,46.4466,4915.0735,7.208,0.6743,0.2514,0.0744,0.3546,0.558,-0.2034
428000.0,107,43.8806,4958.954,7.236,0.7183,0.2376,0.0441,0.3662,0.5349,-0.1687
432000.0,108,42.5474,5001.5014,7.3,0.7044,0.1979,0.0977,0.3746,0.5925,-0.2179
436000.0,109,42.4308,5043.9322,7.358,0.7109,0.2054,0.0837,0.382,0.6044,-0.2224
440000.0,110,42.5221,5086.4543,7.342,0.7406,0.2004,0.059,0.3915,0.5954,-0.204
444000.0,111,42.0343,5128.4886,7.216,0.7083,0.2511,0.0406,0.3736,0.549,-0.1754
448000.0,112,41.4313,5169.9199,7.42,0.7698,0.1853,0.0449,0.4051,0.5999,-0.1948
452000.0,113,45.7157,5215.6356,7.25,0.7269,0.2178,0.0553,0.3799,0.5658,-0.1859
456000.0,114,47.485,5263.1205,7.396,0.7416,0.2041,0.0543,0.4009,0.6063,-0.2054
460000.0,115,47.9827,5311.1033,7.276,0.6997,0.2441,0.0562,0.3767,0.5607,-0.1839
